Iteration,W_dist,mu_dist,var_dist,mu_wind,var_wind,W_angle,var_wind_angle_change
1,0.0,0.9,0.1,0.3,0.01,0.0,0.01
2,0.030630800369943367,0.7125729974205722,0.11214619827228117,0.2810768394555292,0.010430567465250201,0.02046908558967532,0.011424387191087963
3,0.0379083328415169,0.5717264109888711,0.12800233422696689,0.2597125242819614,0.010860809528469855,0.042950824261581526,0.01143526728851127
4,0.03800496987129056,0.7545805964030897,0.1473145580864202,0.2533933649531461,0.010617192615072005,0.045258667848391367,0.01146451718849956
5,0.04740543864841649,0.7590244737307097,0.14127898202192674,0.2380470528553133,0.0109195738763752,0.03347456147051846,0.011374435326330756
6,0.041384279208761504,0.8162628416103489,0.11946587765816641,0.2158064841871778,0.011420652870154606,0.06593250135951587,0.011454046033169754
7,0.031183239310167386,0.8319314500116214,0.11887490043513937,0.21957471133043602,0.01142177759637221,0.11144238263620176,0.011407839131960687
8,0.0266864000975112,0.8690158409873529,0.10597296759326721,0.22331918952905705,0.01154325234871298,0.09620525314449833,0.01152409487352267
9,0.026208386506735043,0.8938697912780096,0.11619476424394101,0.2474545766273965,0.011361776214084181,0.12065728498403644,0.012072160315424754
10,0.02127964505132402,0.9257296824959029,0.1075390071859164,0.24954438594698436,0.011017370289969913,0.12793334098291292,0.012031870902328117
11,0.01644713226042713,0.8915291178754574,0.11628141894814753,0.23750271166214593,0.01131536236524603,0.12853714279762124,0.011817299767502024
12,0.011413120911220154,0.8861090296257721,0.11448234117630629,0.24292201668064933,0.01115700657966005,0.12154521618088518,0.011767996348698259
13,0.01011470129228157,0.8850960919354576,0.10976523830360019,0.2387668355240889,0.011426372413534877,0.11624136268983143,0.011403967586393395
14,0.008045266254889298,0.8687884771208962,0.1198696412790081,0.24007764500491746,0.011646073381572945,0.1183359111330384,0.011328843481640188
15,0.006664312086207846,0.8461976467307688,0.10968126652361199,0.24464823830077248,0.011660801079512867,0.12452650459243297,0.01136534735792594
16,0.008122330161268366,0.8544800045274029,0.0932071755174327,0.24594091227021783,0.011822212590092111,0.12991669126563657,0.010956770244722731
17,0.009309083502201632,0.8368889150060915,0.09412518574392653,0.24964156361421813,0.01174699087103061,0.13152206600405525,0.011022969914144457
18,0.009613272797056734,0.8372150937536857,0.09483434539440026,0.24710705868496358,0.011727199401260609,0.12992459342052431,0.010991622856837913
19,0.00931819694016997,0.8395518356820095,0.0959971373977133,0.24841681971635038,0.011656014609066775,0.13019764616538443,0.011140342979414707
20,0.009367736253833537,0.8526919414130103,0.09541531534828804,0.2497653952095153,0.011698101956738871,0.13028358284689753,0.011174675268323234
21,0.010141369212476116,0.8539652710593703,0.09485300937455465,0.2472313853805898,0.011670933611043093,0.1303506263458885,0.011284277635004697
22,0.010045662848032646,0.8585650283749257,0.09571878599605814,0.2469955315103164,0.011585280148951087,0.13056804186906343,0.011311807414926722
23,0.009902052248913449,0.8445554691000525,0.09584400318551621,0.24580216681363037,0.011634813754467692,0.13104117783342778,0.01129470374052794
24,0.009963585744784759,0.8374546634368093,0.09570502066091528,0.24639466273096317,0.011678667660578094,0.13172387942661315,0.011305919324102378
25,0.009928857497934013,0.8335465381244949,0.09589128854183349,0.24615521636231247,0.011677279066719358,0.13122301720091897,0.011296044679932359
26,0.01009893754341211,0.8302099897627764,0.09595047519803873,0.24647725560468592,0.011660615417765674,0.13058467620446587,0.011321944175532023
27,0.010098091466902884,0.8279044856498471,0.09583979968545503,0.24622368961416147,0.011705268477200187,0.13062523517560273,0.011292044721320369
28,0.009994578692511889,0.8250424708898878,0.0958162624014358,0.24664069130474736,0.011710792076893241,0.13099517153963655,0.011284383914684181
29,0.010042058781218702,0.8275361777043868,0.09572139123604323,0.2468735845387926,0.011697095263352806,0.13075264658592028,0.011310420325073574
30,0.009964991717294227,0.8257932714285786,0.09565587353304084,0.24660378607284367,0.011695583200996012,0.13054057246109674,0.011349173738877987
31,0.010012591298424734,0.8259112019320186,0.0954805115356775,0.24692370404624922,0.011701828058687767,0.13051840756814698,0.011358212146867634
32,0.010165166566095608,0.825004333745772,0.09544781493307339,0.24654907609527038,0.011700172893288851,0.1304995688834119,0.011347204900984906
33,0.010113374508431857,0.8250597730830654,0.09535701689593208,0.24665861097967273,0.011699941987132246,0.13036085949719145,0.011338815354198303
34,0.010117482386943311,0.8264382747238245,0.09542410852329093,0.2466501911626878,0.011698575917830578,0.13019210643241294,0.011353424923174493
35,0.010190676029579532,0.8264089355838455,0.09539857998462273,0.2465034091108858,0.01169836178459056,0.13018628935403886,0.011356288004071988
36,0.01022155701361101,0.8259978967686957,0.09540046517745436,0.24659224850279343,0.011698459724042987,0.13036881686751695,0.011351613894966027
37,0.010151614480550512,0.8260120185865254,0.0955109645047939,0.24665536847358552,0.011698631406304467,0.13018027306867866,0.011370855779838089
38,0.010200364881864231,0.8259698729707639,0.09551702574657986,0.24669445680918733,0.011699201851561125,0.13000017341221456,0.011371771369072263
39,0.010321482921589843,0.825937060659836,0.09552887190093859,0.246552967953721,0.011699385650517397,0.13014899332309404,0.011356707144224988
40,0.010309266424367813,0.8259842908789089,0.09562831584729886,0.2465418182984506,0.011699480540765674,0.1301418583154496,0.011345023477222906
