Iteration,W_dist,mu_dist,var_dist,mu_wind,var_wind,W_angle,var_wind_angle_change
1,1.0,0.5,0.5,0.25,0.01,1.0,1.0
2,0.9188127655676449,0.6408784416584681,0.3930916308201735,0.2463610500549211,0.011469479588307577,0.8859344507755222,1.0126575341486257
3,0.8746499153851164,0.6503299226821845,0.3185740387087118,0.2515478217333188,0.01254555536710332,0.9266707814317547,1.1635640412349277
4,0.8599886174662011,0.5380373897052111,0.2808701980003122,0.24717845670369493,0.01300034940211046,0.9100979691165718,1.090494949451282
5,0.79496164108809,0.46020430223657854,0.2706192316068208,0.2216285626543888,0.012964463601593977,0.9041634801668306,1.041462189643776
6,0.783373368214272,0.4493643267959957,0.2433505876090254,0.22284594689838333,0.013307375792807042,0.9481334207850586,0.9744708837919989
7,0.7850566757397035,0.48930653191392726,0.20901049242173075,0.21013674137583874,0.014363836656319694,0.9193251015700981,0.9928120099111445
8,0.7957324538512439,0.5739226318777948,0.19862641963295152,0.2032969514235034,0.014962860929043793,0.9083400322572308,0.9974164101472627
9,0.7953774182965013,0.5351852526485272,0.2260493908676423,0.19072582966695373,0.015325854968502785,0.9136143954272566,0.966853431881288
10,0.8215501474279974,0.5616012062556544,0.24330743111363892,0.18106470689167062,0.015523298762503013,0.9166707589877771,0.9491987349834301
11,0.8318317415644167,0.5585832756356413,0.23434354351634434,0.1836303195997706,0.015394090183336179,0.9230674490515652,0.9883361744682153
12,0.8139418663608702,0.5269682733779272,0.22803675253118388,0.18942450685923462,0.014879597781387637,0.9290726486664085,1.00977947219489
13,0.8126046148380663,0.5213776566046424,0.21936803464775123,0.19340653220539042,0.01623337275304326,0.9232901599997765,1.009545638533862
14,0.811197863914462,0.5355583981851896,0.21608753782839496,0.19437369528626386,0.01641400417898792,0.9382496365014402,1.01908473865311
15,0.8083669663913979,0.5182445620379151,0.1983612823393665,0.1910783485755424,0.018613913824402167,0.9396738898657345,1.0079204228097665
16,0.8051107783348093,0.5320012194357804,0.19800221363009152,0.19108118740064184,0.018982966005877122,0.9400318708949433,0.9938966071742648
