Iteration,mu_dist,var_dist,mu_wind,var_wind,w_bar,w_angle,var_wind_dir_change
1,36.4182014193062,0.8828683799773234,0.23230939636548764,0.008171874999999999,0.08323487549451215,0.5489314051818595,1.1466055573510578
2,34.18175168478119,1.1682587248055736,0.2243713949742242,0.0094515625,0.08094713292941735,0.4829295284230585,1.1130030891385823
3,31.601468215756544,1.17906713751821,0.23909517086909274,0.00983546875,0.08458730873725662,0.5065407115963194,1.1489801229432355
4,35.028813966171114,1.2962058069477302,0.25132956575888354,0.009950640625,0.06851201407988275,0.5769963479089356,1.1639718249335824
5,33.408819606284595,1.2657571650282025,0.2515453620269611,0.0099851921875,0.07671406420890234,0.558397072192881,1.2059571559474538
6,35.02121592309795,1.4889862613540068,0.2517359084074531,0.00999555765625,0.08522282338046039,0.6317409834110584,1.2157595093191378
7,36.694163831937445,1.4371580322832291,0.2618062026700272,0.009998667296875,0.0834774687115918,0.5994893531934453,1.1788709717221315
8,35.02448743448244,1.4365953862802803,0.2694941779700834,0.0099996001890625,0.08404425855467589,0.7029111896499919,1.182939089210795
9,38.6514450992036,1.474934707406014,0.2701027301404292,0.00999988005671875,0.08329316292147508,0.7304576805359722,1.1736240824543742
10,36.276588610948124,1.4991139110155336,0.2757883054775892,0.009999964017015625,0.08922485324643886,0.7893011255144108,1.1767577803039198
11,35.53938979874637,1.527566034013883,0.2780754016314548,0.009999989205104688,0.09076986001885749,0.8681539331914743,1.1775834173516084
12,35.667788060600614,1.5792358509462943,0.27713619539942047,0.009999996761531406,0.08215592501650489,0.8641412353485121,1.1755554262766044
13,35.09542965739878,1.5031038877936425,0.27996920164482964,0.009999999028459421,0.07495410674432204,0.864709142229517,1.172378313212599
14,35.406707907488496,1.517116263807418,0.2819030692485581,0.009999999708537826,0.07385937627918143,0.8317585046265346,1.1747512258619186
15,36.03537594743041,1.519387348164745,0.28380399859461114,0.009999999912561348,0.07138156404217634,0.8330395545396698,1.175611474602657
16,35.55306291317741,1.5259579951617932,0.28371472973711487,0.009999999973768405,0.0753785726569879,0.8368790266532562,1.1745019580032192
17,36.14937912480736,1.5366018215472645,0.28428541962624326,0.00999999999213052,0.07766661029689462,0.8275839748907484,1.1744887135046391
18,36.09246256381577,1.5496644254198935,0.2842939747368206,0.009999999997639156,0.0776363008228931,0.8591837663199888,1.1764034298085946
19,36.504282957760644,1.554739285916355,0.284547805910531,0.009999999999291746,0.0753363264630914,0.8790761137563067,1.1760666695416826
20,36.31031796173561,1.5589780959422366,0.28451004299111343,0.009999999999787523,0.07483792095991496,0.8885532406458916,1.1774040969007271
21,36.32982103711716,1.5567893353933377,0.2846704790625767,0.009999999999936256,0.0733247419681076,0.8796991770708237,1.1777445133761357
22,36.359106410944136,1.5598834055847444,0.28473174036077575,0.009999999999980877,0.07332299169021225,0.8628552452546387,1.1772968790749432
23,36.33283854121251,1.5575384073297496,0.28492284306775384,0.009999999999994263,0.07306348542286922,0.8651836915313629,1.1770868319800842
24,36.20556987100992,1.554849682070801,0.28469881842898637,0.00999999999999828,0.07355055518031092,0.8695685456793262,1.1780478753539942
25,36.25108607643061,1.555091005867519,0.2848761647137429,0.009999999999999483,0.07343829141300022,0.8691829309343493,1.1784461457934923
26,36.247465818485125,1.5529591669712088,0.2850035134424203,0.009999999999999844,0.07348902742869548,0.8610566802221462,1.178354762333527
27,36.24544396917678,1.5544261887604764,0.2849898140212657,0.009999999999999953,0.07319557637318166,0.8581199089076774,1.178290717765532
28,36.21244962748745,1.5553106781662152,0.28489760957485294,0.009999999999999986,0.07298699099164448,0.8598684707163093,1.1783856554993597
29,36.1806079708587,1.5560707811980508,0.2848636098766394,0.009999999999999995,0.07289032967655953,0.8615633934646449,1.1786514415965246
30,36.17335458482046,1.555792945496356,0.2848861020011423,0.009999999999999998,0.07288438868719947,0.858317708211298,1.1778327831602495
31,36.15741405600229,1.5559784431166084,0.2848614465527506,0.009999999999999998,0.07263895468019234,0.8566874247599032,1.1770754756025483
