Iteration,W_dist,mu_dist,var_dist,mu_wind,var_wind,W_angle,var_wind_angle_change
1,1.0,0.5,0.5,0.25,0.01,1.0,1.0
2,0.6965007201805766,0.4486428498606694,0.5392680691049583,0.261317393202228,0.01246964113731465,0.8584381518273833,1.1240291739131163
3,0.55093272696915,0.42953976252667947,0.5628974753066329,0.2596159980194068,0.011856459556236827,0.8349726292176618,1.1071321618246128
4,0.4555886767881492,0.426570923264741,0.7210906640187319,0.24564135997219894,0.011342774561459833,0.8268338716781143,1.1875824089573879
5,0.6504216791067914,0.38226547376247644,0.6715228813821081,0.2022225505974767,0.011522042614451153,0.8494551533899692,1.205399805235613
6,0.5733090601774642,0.36110289914901866,0.7299394173428092,0.20100816525744747,0.011490999889369571,0.8762500774633272,1.133016958707865
7,0.5665369596929183,0.3790118317212148,0.7149628345802983,0.1974409930351893,0.01250132795712706,0.8552511176370776,1.0997816112193637
8,0.6286543654995317,0.37415328089901145,0.7256973467859449,0.19591507798009078,0.012203374829660218,0.8794627870540409,1.0729651191052105
9,0.5666919122851274,0.3957808467931687,0.7257664567298806,0.1879053899723124,0.012403620315565364,0.8960074024378633,1.0734506324475848
10,0.6022008457798586,0.44124172860246685,0.7336646347005211,0.1899620696619072,0.012395442944563927,0.9045548488789983,1.0637799336297813
11,0.597866841520524,0.37658656567206406,0.7061161158500211,0.19451351871641107,0.012683951971453777,0.904540744584605,1.04870403902612
12,0.5426020528384241,0.3551183619000587,0.691754956388267,0.19173145002145967,0.012706072731782219,0.9045238054145025,1.076754191777488
13,0.5302330903193122,0.3912526853519146,0.6876956194833266,0.1921576854680086,0.012734780253657261,0.905909097938518,1.0902768268711753
14,0.5356197810369091,0.42422055237104883,0.6959578340172805,0.19134246608602612,0.012533139093314931,0.9071695069366881,1.1188676986746109
15,0.5309374590650255,0.3877931520429291,0.689301896922166,0.19269271837117685,0.012571728352548472,0.9065834023216326,1.1128739218518438
16,0.5350944545398415,0.4007812199401853,0.6847555724605583,0.19296865967030788,0.012578518270891226,0.906496176692506,1.1061696833783365
17,0.527085604361295,0.3751512863505728,0.697690622626839,0.1914763468738651,0.012672862990840836,0.9062516331585958,1.1120807578197458
18,0.5248071552103838,0.38547576497138597,0.6874901081667953,0.18780109541544385,0.012626959816636725,0.9060730660044019,1.1173739399723472
19,0.5247983362853239,0.3391248544203086,0.6809129836565632,0.1909352845404036,0.012618768539627461,0.9059065487120308,1.1062908580734403
20,0.5213831068339891,0.33866307455039973,0.6813646809300549,0.18978081914723777,0.012608638744562712,0.906646413855926,1.1050508858972765
21,0.5203876128715365,0.3248621708079779,0.6812549666014874,0.18946926001349518,0.012617850929250073,0.9064662764377753,1.0966150008988622
22,0.5208691403965405,0.34283372319600847,0.6731946584424813,0.18959425055130724,0.012596837453096461,0.9071143587160793,1.0960449456003478
23,0.52019402993259,0.3162932968741881,0.673105881592758,0.18895385708042245,0.012558961556601016,0.907128013507931,1.0965212510748934
24,0.5185361665210713,0.33247257659080803,0.6688039028595489,0.1887025257443417,0.012590070255067528,0.9065765670493626,1.0942789388060858
25,0.5187973977636201,0.3344821046331159,0.6655926587850878,0.1896785421734069,0.012572248492079238,0.9052622290899445,1.0966328425616805
26,0.5188342862008057,0.3394872477527282,0.6659732988290803,0.18979212543246743,0.012570798355340891,0.9055406538009667,1.0974547690176564
27,0.5189973019514832,0.3365766359423338,0.66431701631623,0.19035459794053045,0.012555050132757647,0.9050819365637479,1.095761834314819
28,0.5191915055762973,0.33932465271056816,0.6657572679876642,0.19040640504021994,0.012566942263680235,0.9046202403427983,1.0952312022293416
29,0.5194418975259767,0.33522185150277384,0.6681424226089059,0.19068131401448452,0.012563936820023434,0.904283393800547,1.0936451528917583
30,0.5194515101271703,0.32869272298652075,0.6701763362439497,0.19081997525291114,0.012567489568707218,0.9047081096555575,1.0928829241672997
31,0.5199623344742469,0.33207279638914866,0.6709784839428645,0.19059459448569657,0.012575704733543164,0.905122897230856,1.0919771606529658
32,0.5198332351173194,0.32802485005619253,0.671183919519123,0.19056482819862253,0.012570251044188335,0.9049002640491677,1.0927662118308383
33,0.5194924053766825,0.32740556684263894,0.6715196436340514,0.19049648010812373,0.012571234002121104,0.9044107346204497,1.0930781262462337
34,0.5198746080240119,0.3335123950594289,0.672120238853122,0.1904265138947261,0.012571102849386125,0.9041666005234865,1.093828873933529
35,0.5197738831518366,0.3322713026709814,0.6705691682188362,0.19045292245302228,0.012570461365624752,0.9043129601806801,1.0935253952441588
36,0.5200044022742228,0.33393263157516323,0.6720179582206954,0.1904724013709734,0.012568426677224053,0.9037900564200829,1.0936250098833566
37,0.519924905931394,0.3315615101237426,0.6719290655175587,0.19046862125552347,0.012569650286578896,0.9031978497329531,1.0932229722624274
38,0.5203453070804224,0.33173488266459805,0.671599291294245,0.1904692977031121,0.012570791914899827,0.9032119720148337,1.0939498589849133
39,0.5210472242780866,0.3318652672997272,0.6721890838756005,0.19043339866178416,0.012568168658543828,0.9025556469129881,1.0940377382782318
40,0.5211677060328863,0.33065835859724035,0.672221647001314,0.1904341820861332,0.012567506489830866,0.9026338845251856,1.09358440699418
41,0.5212459026865477,0.3296627373863612,0.6727147204195854,0.19043524600985684,0.012567922555231006,0.9027782719609735,1.0929922641381375
42,0.5211724414495297,0.33068404646117666,0.6723526270147525,0.1904364264622852,0.012567299691649159,0.9029041976291328,1.0930413040464915
43,0.5211490824341974,0.33125154718362493,0.6721918168131757,0.19044035675522436,0.01256733954310205,0.9029612626236762,1.0930300249920535
44,0.5211017669492853,0.3318259078164828,0.6721143228754208,0.19043104735316832,0.012567434660810414,0.9031649831915669,1.0928665021478472
45,0.521140904517139,0.33159332809798703,0.6720890043022328,0.19042047383786437,0.012568044411516259,0.9032968337135533,1.0927775693037014
46,0.5211296007070125,0.33171232826000635,0.6721614838824476,0.19041825935568113,0.012567844122038044,0.9034136725000611,1.092809100234314
47,0.5211539375779959,0.33149795012065914,0.6720932124451662,0.1904143651868742,0.012567625271510785,0.9034071906486489,1.092852075890253
48,0.5211950294016634,0.33233754162903417,0.6720541633931961,0.1904182901873578,0.012567583253389098,0.903452390439587,1.092704044161228
49,0.5211989484797495,0.33190069648036086,0.6720080917192647,0.19041390527879054,0.012567560360830121,0.9034155437044711,1.0925219163561706
50,0.521194384658549,0.3315534733538468,0.6720008352587377,0.19041337233214053,0.012567587659892396,0.9033610719799343,1.0926585672599805
51,0.5212063592428684,0.33205558956743386,0.6720516482602275,0.19041359966740368,0.012567636068597957,0.9033489031398516,1.092627567833735
52,0.5212012130991892,0.3323726423519359,0.671950985247808,0.19041271741276108,0.012567687442350527,0.9033378635267,1.0929173372035954
53,0.5212013221543106,0.3321639288702335,0.6719250910269252,0.190412873204613,0.012567639716927212,0.9033282274039096,1.0934586486791418
54,0.5212042889994665,0.33216287444434744,0.6719381467870752,0.19041334240210106,0.012567617463543805,0.9033467212661471,1.0932135846500577
55,0.5212012713436531,0.33247617612628755,0.6718189297594002,0.19041316852053947,0.012567604252756786,0.9033520296633846,1.0936343113168214
56,0.5212016797397184,0.3325211109347,0.6718800225393463,0.19041244440910274,0.01256760650365046,0.9033457837172822,1.0940190746073897
57,0.5212019671119117,0.33245157254683844,0.6718927668511286,0.19041219533234852,0.012567612330957503,0.9033226483294392,1.0941935467649548
58,0.5212023649005365,0.33201561391461176,0.671845633188253,0.19041179587909166,0.01256762110973467,0.903303684067855,1.0940197075479279
59,0.5212016856359409,0.33185224508613503,0.6717575376859648,0.19041224542381696,0.012567620846769028,0.9033150066180672,1.094023722387879
60,0.5212020257269763,0.33204501706069645,0.6717117917326328,0.19041230947910384,0.012567610305392624,0.9033481232504306,1.094111130645823
61,0.5212024714717942,0.3319705613565528,0.6717264898623505,0.19041276400241985,0.012567611019070784,0.9033343170636792,1.0940052610572226
62,0.521202367332898,0.33203259045112105,0.671662032258613,0.19041310328149302,0.012567614120661598,0.9033253780166919,1.0939787608290898
