Trial #,Failure Mode,Total Cost,Time to Objective,Num Comms
201,No Failure,131.00,30,0
202,No Failure,1951.00,473,51
203,No Failure,663.00,164,0
204,No Failure,2601.00,616,127
205,No Failure,1453.00,359,2
206,No Failure,1147.00,284,0
207,No Failure,615.00,151,0
208,Out of Time,4564.00,1000,561
209,No Failure,1905.00,464,38
210,No Failure,83.00,19,0
211,Drones got Stuck,4276.00,947,479
212,No Failure,327.00,79,0
213,No Failure,1167.00,289,0
214,No Failure,1937.00,474,29
215,Out of Time,4498.00,1000,497
216,Out of Time,4498.00,1000,497
217,No Failure,1695.00,417,20
218,No Failure,4431.00,981,495
219,No Failure,1809.00,442,35
220,No Failure,2253.00,548,50
221,Out of Time,4442.00,1000,440
222,No Failure,259.00,61,0
223,No Failure,231.00,56,0
224,Out of Time,4572.00,1000,571
225,No Failure,983.00,243,0
226,Out of Time,4332.00,1000,331
227,Out of Time,4420.00,1000,416
228,No Failure,2087.00,514,20
229,No Failure,4395.00,970,508
230,Out of Time,4512.00,1000,510
231,No Failure,395.00,96,0
232,Out of Time,4474.00,1000,471
233,No Failure,1483.00,368,0
234,No Failure,4247.00,939,487
235,No Failure,863.00,213,0
236,No Failure,367.00,89,0
237,No Failure,755.00,187,0
238,No Failure,1467.00,365,0
239,No Failure,1323.00,329,0
240,No Failure,2017.00,486,59
241,No Failure,2769.00,656,127
242,No Failure,1211.00,300,0
243,No Failure,1815.00,443,32
244,No Failure,1043.00,257,0
245,No Failure,3077.00,704,253
246,No Failure,79.00,17,0
247,No Failure,67.00,15,0
248,No Failure,615.00,151,0
249,No Failure,595.00,146,0
250,No Failure,307.00,74,0
251,No Failure,779.00,193,0
252,No Failure,1363.00,338,0
253,No Failure,1119.00,275,0
254,No Failure,711.00,175,0
255,No Failure,1071.00,265,0
256,No Failure,155.00,36,0
257,No Failure,1107.00,274,0
258,No Failure,503.00,124,0
259,No Failure,1355.00,336,0
260,No Failure,3077.00,733,138
261,No Failure,1479.00,367,0
262,No Failure,459.00,113,0
263,Out of Time,4440.00,1000,438
264,No Failure,659.00,162,0
265,No Failure,1703.00,421,12
266,No Failure,475.00,116,0
267,No Failure,1989.00,482,50
268,No Failure,159.00,37,0
269,Out of Time,4532.00,1000,528
270,No Failure,3571.00,800,362
271,No Failure,2823.00,646,234
272,No Failure,379.00,92,0
273,No Failure,1503.00,373,0
274,No Failure,855.00,212,0
275,No Failure,1083.00,268,0
276,No Failure,835.00,206,0
277,No Failure,283.00,69,0
278,No Failure,1139.00,282,0
279,No Failure,2981.00,699,176
280,No Failure,3037.00,752,22
281,No Failure,711.00,175,0
282,No Failure,1283.00,318,0
283,Out of Time,4404.00,1000,403
284,No Failure,2461.00,593,80
285,No Failure,675.00,166,0
286,Out of Time,4254.00,1000,254
287,No Failure,1339.00,332,0
288,Out of Time,4548.00,1000,546
289,No Failure,63.00,13,0
290,No Failure,2007.00,485,56
291,Out of Time,4506.00,1000,503
292,No Failure,2615.00,632,76
293,No Failure,55.00,11,0
294,No Failure,271.00,66,0
295,No Failure,1267.00,314,0
296,Out of Time,4548.00,1000,545
297,No Failure,1115.00,277,0
298,No Failure,3451.00,780,322
299,Out of Time,4586.00,1000,583
300,Out of Time,4588.00,1000,587
301,No Failure,387.00,94,0
302,No Failure,1251.00,310,0
303,No Failure,3245.00,743,265
304,No Failure,111.00,25,0
305,No Failure,1223.00,304,0
306,No Failure,1379.00,342,0
307,Drones got Stuck,3784.00,858,345
308,No Failure,1299.00,322,0
309,No Failure,67.00,15,0
310,No Failure,727.00,180,0
311,No Failure,83.00,18,0
312,No Failure,503.00,123,0
313,No Failure,1805.00,444,18
314,No Failure,207.00,50,0
315,No Failure,243.00,58,0
316,No Failure,0.00,0,0
317,Out of Time,4466.00,1000,463
318,No Failure,35.00,6,0
319,No Failure,139.00,32,0
320,No Failure,639.00,157,0
321,Out of Time,4294.00,1000,293
322,No Failure,27.00,3,0
323,No Failure,879.00,217,0
324,Out of Time,4374.00,1000,371
325,No Failure,715.00,177,0
326,Out of Time,4488.00,1000,487
327,No Failure,1927.00,467,52
328,No Failure,467.00,115,0
329,No Failure,331.00,80,0
330,No Failure,1979.00,479,53
331,No Failure,1575.00,391,0
