Trial #,Failure Mode,Total Cost,Time to Objective,Num Comms
185,No Failure,575.00,139,3
186,Out of Time,1228.00,300,9
187,No Failure,795.00,196,2
188,Out of Time,1212.00,300,5
189,Drones got Stuck,1040.00,245,15
190,Drones got Stuck,1252.00,293,21
191,Budget runs out,1284.00,295,28
192,No Failure,1123.00,271,9
193,Drones got Stuck,904.00,213,13
194,No Failure,383.00,90,0
195,Drones got Stuck,788.00,174,23
196,Drones got Stuck,500.00,89,35
197,Drones got Stuck,1136.00,267,18
198,No Failure,807.00,199,2
199,Out of Time,1220.00,300,8
200,No Failure,663.00,164,0
201,No Failure,615.00,152,0
202,No Failure,919.00,226,2
203,Out of Time,1208.00,300,4
204,Out of Time,1268.00,300,19
205,Drones got Stuck,1260.00,292,34
206,No Failure,711.00,175,0
207,Out of Time,1236.00,300,17
208,Out of Time,1240.00,300,13
209,Drones got Stuck,688.00,138,62
210,Out of Time,1236.00,300,13
211,No Failure,263.00,64,0
212,No Failure,379.00,93,0
213,Drones got Stuck,1040.00,247,14
214,Drones got Stuck,864.00,200,16
215,Budget runs out,1280.00,294,28
216,Drones got Stuck,1180.00,279,21
217,No Failure,235.00,57,0
218,Budget runs out,1280.00,294,30
219,No Failure,383.00,94,0
220,No Failure,999.00,244,4
221,No Failure,311.00,74,0
222,No Failure,424.00,81,25
223,No Failure,843.00,177,33
224,No Failure,435.00,107,0
225,Drones got Stuck,316.00,64,19
226,No Failure,315.00,78,0
227,Budget runs out,1280.00,281,41
228,Drones got Stuck,316.00,61,17
229,Out of Time,1244.00,300,13
230,Out of Time,1208.00,300,4
231,No Failure,1051.00,258,2
232,No Failure,839.00,206,2
233,Drones got Stuck,860.00,202,16
234,Drones got Stuck,568.00,125,16
235,Budget runs out,1284.00,298,25
236,Drones got Stuck,1144.00,246,54
237,No Failure,215.00,51,0
238,No Failure,847.00,208,2
239,No Failure,1095.00,269,4
240,Drones got Stuck,1112.00,224,56
241,No Failure,1200.00,292,10
242,Drones got Stuck,232.00,47,10
243,Out of Time,1208.00,300,4
244,Budget runs out,1284.00,295,28
245,No Failure,811.00,196,2
246,Drones got Stuck,412.00,88,17
247,Drones got Stuck,308.00,65,16
248,Budget runs out,1280.00,293,38
249,No Failure,404.00,97,4
250,Drones got Stuck,476.00,107,11
251,No Failure,655.00,162,0
252,No Failure,435.00,106,0
253,Out of Time,1232.00,300,10
254,Out of Time,1212.00,300,5
255,Out of Time,1252.00,300,18
256,No Failure,15.00,1,0
257,No Failure,839.00,206,3
258,Out of Time,1240.00,300,12
259,No Failure,843.00,207,2
260,Drones got Stuck,448.00,100,11
261,No Failure,511.00,124,0
262,Drones got Stuck,988.00,231,16
263,Out of Time,1232.00,300,11
264,Drones got Stuck,896.00,189,35
265,No Failure,827.00,203,1
266,Out of Time,1256.00,300,25
267,Out of Time,1208.00,300,4
268,No Failure,383.00,93,0
269,Drones got Stuck,456.00,90,23
270,Drones got Stuck,944.00,186,79
271,Drones got Stuck,1172.00,273,21
272,Budget runs out,1280.00,284,38
273,Drones got Stuck,772.00,175,30
274,Out of Time,1220.00,300,7
275,Out of Time,1244.00,300,13
276,No Failure,663.00,164,0
277,No Failure,955.00,222,15
278,Budget runs out,1280.00,279,43
279,Drones got Stuck,620.00,126,28
280,No Failure,627.00,149,6
281,Out of Time,1220.00,300,8
282,Drones got Stuck,920.00,198,42
283,Drones got Stuck,352.00,70,20
284,Drones got Stuck,516.00,105,39
285,Drones got Stuck,236.00,39,19
286,Drones got Stuck,916.00,216,22
287,Drones got Stuck,836.00,194,23
288,Drones got Stuck,1208.00,288,21
289,No Failure,899.00,216,11
290,Budget runs out,1280.00,290,51
291,Budget runs out,1280.00,295,27
292,No Failure,671.00,166,0
293,Budget runs out,1280.00,266,55
294,Drones got Stuck,684.00,151,35
295,No Failure,219.00,52,0
296,No Failure,660.00,155,13
297,No Failure,343.00,83,0
298,Out of Time,1212.00,300,5
299,Drones got Stuck,380.00,70,24
300,No Failure,239.00,57,0
301,Out of Time,1220.00,300,7
302,No Failure,627.00,155,0
303,No Failure,691.00,170,0
304,Drones got Stuck,872.00,168,72
305,No Failure,1143.00,281,4
306,Budget runs out,1280.00,293,38
307,No Failure,519.00,126,3
308,Budget runs out,1280.00,280,42
309,No Failure,683.00,167,0
310,Drones got Stuck,244.00,46,14
311,No Failure,15.00,1,0
312,Budget runs out,1280.00,273,54
313,No Failure,295.00,72,0
314,Drones got Stuck,1268.00,295,35
315,No Failure,623.00,153,0
316,No Failure,431.00,105,0
317,No Failure,359.00,86,0
318,Drones got Stuck,752.00,161,27
319,Drones got Stuck,824.00,194,12
320,No Failure,484.00,110,11
321,Drones got Stuck,1248.00,298,15
322,No Failure,607.00,144,4
323,Out of Time,1236.00,300,17
324,Out of Time,1208.00,300,4
325,No Failure,1084.00,257,17
326,No Failure,407.00,100,0
327,No Failure,507.00,124,0
328,Out of Time,1248.00,300,14
329,Out of Time,1248.00,300,14
330,No Failure,879.00,216,2
331,No Failure,899.00,220,2
332,Out of Time,1212.00,300,5
333,Budget runs out,1280.00,294,31
334,Out of Time,1268.00,300,22
335,Out of Time,1220.00,300,7
336,Out of Time,1212.00,300,5
337,No Failure,1035.00,254,2
338,Drones got Stuck,768.00,175,17
339,No Failure,367.00,89,0
340,Drones got Stuck,656.00,152,12
341,Out of Time,1256.00,300,16
342,No Failure,463.00,114,0
343,Out of Time,1208.00,300,4
344,Out of Time,1212.00,300,6
345,Drones got Stuck,736.00,172,12
346,Out of Time,1208.00,300,4
347,Drones got Stuck,520.00,103,26
348,Drones got Stuck,376.00,81,12
349,Drones got Stuck,452.00,92,20
350,Out of Time,1244.00,300,13
351,Drones got Stuck,1220.00,277,49
352,No Failure,243.00,60,0
353,Out of Time,1220.00,300,7
354,Out of Time,1240.00,300,12
355,Drones got Stuck,392.00,84,15
356,No Failure,335.00,81,0
357,Out of Time,1240.00,300,12
358,Budget runs out,1280.00,265,60
359,Drones got Stuck,164.00,30,10
360,Out of Time,1220.00,300,7
361,No Failure,279.00,67,0
362,No Failure,959.00,237,2
363,Drones got Stuck,452.00,88,24
364,No Failure,811.00,199,2
365,Drones got Stuck,1036.00,238,33
366,No Failure,395.00,95,0
367,No Failure,1028.00,252,7
368,Drones got Stuck,1028.00,229,28
369,No Failure,295.00,72,0
370,No Failure,1195.00,287,14
371,Drones got Stuck,964.00,193,83
372,No Failure,1007.00,248,2
373,Out of Time,1236.00,300,16
374,Drones got Stuck,636.00,148,11
375,No Failure,639.00,156,4
376,Out of Time,1248.00,300,14
377,Drones got Stuck,532.00,122,10
